Local Effort — Income Statement
Period: 2025-08 to 2026-07 (monthly)
Generated: 2026-08-22  |  Currency: USD  |  Basis: cash

Line item,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,Total
REVENUE
  Gross revenue,7051.45,13814.64,10809.08,9200.67,9842.47,11346.69,9191.86,7004.70,12246.43,15163.45,15251.30,17470.33,138393.07
  Less: refunds and returns,0.00,0.00,-507.00,-646.00,-432.00,-432.00,-732.00,-58.00,-850.00,-67.00,-103.00,-16.00,-3843.00
NET REVENUE,7051.45,13814.64,10302.08,8554.67,9410.47,10914.69,8459.86,6946.70,11396.43,15096.45,15148.30,17454.33,134550.07

COST OF GOODS SOLD
  Amazon,105.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.22
  Inventory,1431.58,1870.94,1805.75,2452.02,1822.08,1690.07,2990.27,2450.01,3487.35,3268.01,3223.05,3852.46,30343.59
  Materials,0.00,0.00,0.00,91.36,124.10,125.16,496.12,180.46,296.91,258.96,102.53,459.76,2135.36
Total COGS,1536.80,1870.94,1805.75,2543.38,1946.18,1815.23,3486.39,2630.47,3784.26,3526.97,3325.58,4312.22,32584.17

GROSS PROFIT,5514.65,11943.70,8496.33,6011.29,7464.29,9099.46,4973.47,4316.23,7612.17,11569.48,11822.72,13142.11,101965.90

OPERATING EXPENSES
  Amazon,306.67,203.96,50.83,279.15,61.74,213.59,278.79,579.34,415.90,375.07,812.39,595.80,4173.23
  Car,0.00,1200.00,1550.00,0.00,0.00,572.53,0.00,2000.00,0.00,1565.02,287.18,0.00,7174.73
  Debt,0.00,0.00,0.00,0.00,0.00,252.73,0.00,116.44,0.00,0.00,1090.00,0.00,1459.17
  Delivery,6.00,0.00,2.00,29.92,16.00,3.00,0.00,143.87,107.54,68.80,83.63,150.40,611.16
  Eastside,0.00,0.00,0.00,0.00,2600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2600.00
  Gas,142.50,197.64,195.37,587.17,176.84,270.19,109.95,235.26,232.86,283.44,321.77,276.27,3029.26
  Labor,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,560.00,2566.00,1279.00,4445.00
  Licensing and Permits,22.31,0.00,0.00,0.00,736.00,99.75,94.77,34.25,130.00,119.25,646.50,34.25,1917.08
  Marketing,469.55,386.38,137.71,478.75,175.31,260.35,171.68,414.25,205.43,213.05,228.01,132.43,3272.90
  Rent,1850.00,1850.00,1850.00,2000.00,2396.00,6350.00,1538.00,1889.00,2180.00,1163.33,1525.00,3849.50,28440.83
  Software & Tools,108.22,136.37,186.10,139.06,119.09,124.16,127.35,304.34,351.20,389.65,140.32,143.23,2269.09
  Uncategorized operating,0.00,182.90,112.11,162.11,86.10,166.23,194.66,202.18,280.53,129.76,238.07,406.71,2161.36
  Utilities,0.00,400.00,0.00,0.00,135.73,0.00,0.00,0.00,0.00,300.00,0.00,0.00,835.73
Total operating expenses,2905.25,4557.25,4084.12,3676.16,6502.81,8312.53,2555.20,5918.93,3903.46,5167.37,7938.87,6867.59,62389.54

OPERATING INCOME,2609.40,7386.45,4412.21,2335.13,961.48,786.93,2418.27,-1602.70,3708.71,6402.11,3883.85,6274.52,39576.36

OTHER INCOME (non-trading — excluded from net revenue)
  Reimbursements and refunds received,13.02,250.00,0.00,0.00,0.00,381.24,85.72,6238.00,3672.50,237.06,103.00,127.09,11107.63

NET INCOME,2622.42,7636.45,4412.21,2335.13,961.48,1168.17,2503.99,4635.30,7381.21,6639.17,3986.85,6401.61,50683.99

OWNER AND UNRESOLVED ITEMS (excluded from the business result above)
  Owner draws / personal,1199.23,2240.86,2159.29,396.89,1475.53,533.54,1201.30,1677.76,3862.46,5007.43,3297.57,1432.52,24484.38
  Reimbursable expenses (recoverable),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  Unclassified — pending review,31.25,114.21,185.68,107.60,15.46,30.46,30.46,144.02,226.98,568.26,126.03,293.93,1874.34

NET CASH FLOW (after all outflows incl. owner draws),1391.94,5281.38,2067.24,1830.64,-529.51,604.17,1272.23,2813.52,3291.77,1063.48,563.25,4675.16,24325.27

NOTES
1. Cash basis. Figures derive from posted bank and Square activity.
"2. ""Other income"" is non-trading receipts (reimbursements, tax refunds) and is deliberately excluded from net revenue."
3. Owner draws are excluded from the business result and shown separately.
"4. ""Unclassified"" is spend not yet assigned to business or personal; it is excluded from the business result rather than assumed either way."
