Local Effort — Balance Sheet
Period: 2025-02 to 2026-07 (month-end)
Generated: 2026-08-21  |  Currency: USD
"INCOMPLETE — cash only. See ""Not tracked"" rows and the notes at the bottom."

Line item,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
ASSETS
  General savings (SAVINGS),333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00,333.00
  Local Pizza (CHECKING),172.95,172.95,501.43,221.51,657.69,173.27,172.95,815.80,542.09,1279.74,468.39,172.95,1086.33,253.22,174.48,212.49,173.16,186.95
  SoFi Checking (CHECKING),unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6
  SoFi Savings (SAVINGS),70.17,70.17,70.17,70.17,70.17,70.17,70.17,70.17,20.23,5.00,0.00,0.00,0.00,3.91,0.02,68.76,0.76,16.03
  Square (OTHER),unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6
  TOTAL CHECKING (CHECKING),unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6
  Venmo Wallet (OTHER),unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6,unreliable — see note 6
Total cash and equivalents (reliable accounts only),576.12,576.12,904.60,624.68,1060.86,576.44,576.12,1218.97,895.32,1617.74,801.39,505.95,1419.33,590.13,507.50,614.25,506.92,535.98
  Inventory,n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked)
  Accounts receivable,n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked)
"  Fixed assets (vehicle, equipment)",n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked),n/a (not tracked)
