Local Effort — Income Statement
Period: 2025-02 to 2026-07 (monthly)
Generated: 2026-08-21  |  Currency: USD  |  Basis: cash

Line item,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,Total
REVENUE
  Gross revenue,4656.96,5257.74,5584.79,2442.28,4753.02,3863.01,7051.45,13814.64,10964.25,12370.57,13318.84,16040.62,14597.09,12280.05,20403.50,10770.54,19479.72,25267.86,202916.93
  Less: refunds and returns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-507.00,-646.00,-432.00,-432.00,-1164.00,-58.00,-850.00,-67.00,-119.00,-26.00,-4301.00
NET REVENUE,4656.96,5257.74,5584.79,2442.28,4753.02,3863.01,7051.45,13814.64,10457.25,11724.57,12886.84,15608.62,13433.09,12222.05,19553.50,10703.54,19360.72,25241.86,198615.93

COST OF GOODS SOLD
  Amazon,196.45,0.00,14.08,53.08,7.36,130.60,105.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506.79
  Inventory,1202.56,2078.90,1620.66,1043.19,1763.37,1116.97,1431.58,1870.94,1805.75,2452.02,1822.08,1690.07,3084.98,2118.18,3442.35,2968.01,3223.05,3920.37,38655.03
  Materials,0.00,0.00,0.00,23.53,0.00,164.00,0.00,0.00,0.00,91.36,124.10,125.16,496.12,180.46,296.91,258.96,102.53,459.76,2322.89
Total COGS,1399.01,2078.90,1634.74,1119.80,1770.73,1411.57,1536.80,1870.94,1805.75,2543.38,1946.18,1815.23,3581.10,2298.64,3739.26,3226.97,3325.58,4380.13,41484.71

GROSS PROFIT,3257.95,3178.84,3950.05,1322.48,2982.29,2451.44,5514.65,11943.70,8651.50,9181.19,10940.66,13793.39,9851.99,9923.41,15814.24,7476.57,16035.14,20861.73,157131.22

OPERATING EXPENSES
  Amazon,110.49,351.62,364.30,143.15,283.59,93.32,306.67,203.96,50.83,279.15,61.74,213.59,278.79,579.34,415.90,375.07,812.39,621.96,5545.86
  Car,595.00,600.00,600.00,0.00,600.00,1000.00,0.00,1200.00,1550.00,0.00,0.00,572.53,0.00,2000.00,0.00,1565.02,287.18,0.00,10569.73
  Debt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.73,0.00,116.44,0.00,0.00,1090.00,0.00,1459.17
  Delivery,0.00,14.00,30.00,29.00,5.00,1.00,6.00,0.00,2.00,29.92,16.00,3.00,0.00,143.87,107.54,68.80,83.63,150.40,690.16
  Eastside,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2600.00
  Gas,74.48,139.78,82.65,94.22,252.17,234.79,142.50,197.64,195.37,587.17,176.84,270.19,109.95,235.26,232.86,283.44,321.77,276.27,3907.35
  Labor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,210.00,2566.00,1279.00,4095.00
  Licensing and Permits,485.35,68.00,133.31,57.99,18.37,29.40,22.31,0.00,0.00,0.00,736.00,99.75,94.77,34.25,130.00,119.25,646.50,34.25,2709.50
  Marketing,136.48,34.86,0.00,191.68,101.75,336.50,469.55,386.38,137.71,478.75,175.31,260.35,171.68,414.25,205.43,213.05,228.01,132.43,4074.17
  Rent,1850.00,0.00,2033.00,1850.00,2140.00,1850.00,1850.00,1850.00,1850.00,2000.00,2396.00,6350.00,1538.00,1889.00,1900.00,1163.33,1525.00,3849.50,37883.83
  Software & Tools,94.96,115.76,104.63,95.48,72.66,50.78,108.22,136.37,186.10,139.06,119.09,124.16,127.35,152.34,351.20,155.40,140.32,176.22,2450.10
  Uncategorized operating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182.90,112.11,162.11,86.10,166.23,194.66,202.18,280.53,129.76,238.07,406.71,2161.36
  Utilities,36.25,238.87,536.25,21.25,872.56,0.00,0.00,400.00,0.00,0.00,135.73,0.00,0.00,0.00,0.00,300.00,0.00,0.00,2540.91
Total operating expenses,3383.01,1562.89,3884.14,2482.77,4346.10,3595.79,2905.25,4557.25,4084.12,3676.16,6502.81,8312.53,2555.20,5766.93,3623.46,4583.12,7938.87,6926.74,80687.14

