name,email,phone,orders,revenue_usd,identified,items
Square Customer J0FM2CM4,,,1,45.00,identified,Smoked chicken×1
Square Customer NWNSWZ8J,,,1,45.00,identified,Smoked chicken×1
Square card buyer ••byBw,,,1,30.00,anonymous_card,Smoked chicken×1
Square card buyer ••NFxg,,,1,30.00,anonymous_card,Smoked chicken×1
Square Customer 9RQBAY3F,,,2,29.00,identified,Squash×1; Smoked chicken×1
Square Customer BZ0QREZC,,,2,29.00,identified,Smoked chicken×1; Squash×1
Square Customer G814HZZ8,,,2,29.00,identified,Squash×1; Smoked chicken×1
Square Customer 2HRVSJ9Z,,,2,29.00,identified,Squash×1; Smoked chicken×1
Square Customer XS66Y02V,,,2,29.00,identified,Smoked chicken×1; Squash×1
Square card buyer ••jMPA,,,2,29.00,anonymous_card,Squash×1; Smoked chicken×1
Square card buyer ••genQ,,,2,29.00,anonymous_card,Squash×1; Smoked chicken×1
Square card buyer ••wSFw,,,2,29.00,anonymous_card,Squash×1; Smoked chicken×1
Square card buyer ••AGGA,,,2,29.00,anonymous_card,Squash×1; Smoked chicken×1
Square Customer MJVBWFT1,,,1,15.00,identified,Smoked chicken×1
Square Customer FE5QYFZ8,,,1,15.00,identified,Smoked chicken×1
Square Customer AGTH43GC,,,1,15.00,identified,Smoked chicken×1
Square Customer Q65JW76J,,,1,15.00,identified,Smoked chicken×1
Square Customer HBM1YNPZ,,,1,15.00,identified,Smoked chicken×1
Square card buyer ••5rCw,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••KgGQ,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••jX-A,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••lufA,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••IcCQ,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••RyXw,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••Oy9A,,,1,15.00,anonymous_card,Smoked chicken×1
Square card buyer ••A-jA,,,1,15.00,anonymous_card,Smoked chicken×1
Square Customer 9MTQEDGH,,,1,14.00,identified,Squash×1
Square Customer M1MRK6A7,,,1,14.00,identified,Squash×1
Square Customer VP8PD6NV,,,1,14.00,identified,Squash×1
Square Customer QYSPEQ80,,,1,14.00,identified,Squash×1
Square Customer S33000SH,,,1,14.00,identified,Squash×1
Square card buyer ••dvnw,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••jpcg,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••4rnA,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••BSmw,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••PTCg,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••rurg,,,1,14.00,anonymous_card,Squash×1
Square card buyer ••cuIw,,,1,14.00,anonymous_card,Squash×1
